name,latitude,longitude
Jurong East MRT,1.33329506563598,103.742153884191
Bukit Batok MRT,1.34903534800639,103.749526027989
Bukit Gombak MRT,1.35866272149921,103.751913321513
Choa Chu Kang MRT,1.38536316540225,103.744370779756
Yew Tee MRT,1.39747594171731,103.747418249132
Kranji MRT,1.4250690629411,103.762099449562
Marsiling MRT,1.43262603485889,103.774051197031
Woodlands MRT,1.43605761708128,103.787938777173
Admiralty MRT,1.44055609916205,103.800916952025
Sembawang MRT,1.44902668521092,103.820139486468
Canberra MRT,1.44307664075699,103.829702590959
Yishun MRT,1.4295887655538,103.835050382253
Khatib MRT,1.41758906054002,103.833061043125
Yio Chu Kang MRT,1.38168259989517,103.844991053696
Ang Mo Kio MRT,1.36993284962264,103.849558091776
Bishan MRT,1.35101889777844,103.850057208608
Braddell MRT,1.34010520696434,103.846755921048
Toa Payoh MRT,1.33259672794159,103.847577286075
Novena MRT,1.32021100706836,103.843656761867
Newton MRT,1.31257031730604,103.838031555215
Orchard MRT,1.30304426265194,103.831375000068
Somerset MRT,1.30025287710542,103.839158336848
Dhoby Ghaut MRT,1.29868872290409,103.846179896647
City Hall MRT,1.29298990700923,103.852542630339
Raffles Place MRT,1.28393326234538,103.851463066212
Marina Bay MRT,1.27631114381584,103.854604975361
Marina South Pier MRT,1.27102703612006,103.862447515736
Pasir Ris MRT,1.37300805046319,103.949265083922
Tampines MRT,1.35515041120473,103.943009883131
Simei MRT,1.34316035195426,103.953347548212
Tanah Merah MRT,1.32701524290982,103.946155931882
Bedok MRT,1.32398845004421,103.930032476715
Kembangan MRT,1.32104702761608,103.91292554527
Eunos MRT,1.31978354916088,103.903225807255
Paya Lebar MRT,1.3172473854035,103.892260753884
Aljunied MRT,1.31644118834754,103.882964033576
Kallang MRT,1.31148890998818,103.871386541754
Lavender MRT,1.30739187893137,103.862784610013
Bugis MRT,1.30026468984101,103.855614760658
City Hall MRT,1.29298990700923,103.852542630339
Raffles Place MRT,1.28393326234538,103.851463066212
Tanjong Pagar MRT,1.27660857408421,103.846006679223
Outram Park MRT,1.2802415328084,103.840052100136
Tiong Bahru MRT,1.28619457890544,103.826998939732
Redhill MRT,1.28963453412887,103.81674097205
Queenstown MRT,1.29455085184931,103.806077155982
Commonwealth MRT,1.31511625277378,103.765191452888
Buona Vista MRT,1.30627534823257,103.790363200126
Dover MRT,1.31139153717332,103.778656381761
Clementi MRT,1.31511625277378,103.765191452888
Jurong East MRT,1.33329506563598,103.742153884191
Chinese Garden MRT,1.34224494823931,103.732766601621
Lakeside MRT,1.34425911493819,103.720949087456
Boon Lay MRT,1.33860405469845,103.706064622772
Pioneer MRT,1.33759355182117,103.697418455881
Joo Koon MRT,1.32769436492908,103.678085068438
Gul Circle MRT,1.31947090075208,103.660530461345
Tuas Crescent MRT,1.32102695598684,103.649078235627
Tuas West Road MRT,1.32998504653102,103.639616648771
Tuas Link MRT,1.34088242451105,103.636991425128
Expo MRT,1.33538252614956,103.962374747451
Changi Airport MRT,1.35747897447692,103.98788356959
HarbourFront MRT,1.26531139858465,103.820557316696
Outram Park MRT,1.2802415328084,103.840052100136
Chinatown MRT,1.2839640518753,103.843141945391
Clarke Quay MRT,1.28745211415803,103.846119192727
Dhoby Ghaut MRT,1.29868872290409,103.846179896647
Little India MRT,1.30724381608438,103.849841614124
Farrer Park MRT,1.31314029963164,103.854754721344
Boon Keng MRT,1.3199433920787,103.861746337392
Potong Pasir MRT,1.33137808528793,103.869363547741
Woodleigh MRT,1.33982824592182,103.87096088798
Serangoon MRT,1.3510482896351,103.871070417199
Kovan MRT,1.35990191952976,103.884494725197
Hougang MRT,1.37033472429161,103.892261757937
Buangkok MRT,1.38369417199994,103.893049981318
Sengkang MRT,1.39174613283898,103.895508171163
Punggol MRT,1.40439782602064,103.902044299842
Dhoby Ghaut MRT,1.29868872290409,103.846179896647
Bras Basah MRT,1.2967526221395,103.850918752694
Esplanade MRT,1.29309408587041,103.855583933723
Promenade MRT,1.29307389602149,103.861067235865
Nicoll Highway MRT,1.29976684675139,103.86363696572
Stadium MRT,1.3028124684707,103.875337711089
Mountbatten MRT,1.30615406128913,103.883045148696
Dakota MRT,1.30843144331463,103.889268208422
Paya Lebar MRT,1.3172473854035,103.892260753884
MacPherson MRT,1.32683963232487,103.890007860464
Tai Seng MRT,1.33514564170352,103.888336109832
Bartley MRT,1.3424454382925,103.880197087117
Serangoon MRT,1.3510482896351,103.871070417199
Lorong Chuan MRT,1.35153128621585,103.864812169514
Bishan MRT,1.35101889777844,103.850057208608
Marymount MRT,1.34870726290354,103.839423132604
Caldecott MRT,1.33734722320212,103.839544077561
Botanic Gardens MRT,1.32238699517166,103.815385463093
Farrer Road MRT,1.31743915158967,103.807379214161
Holland Village MRT,1.31226422601049,103.796470444998
Buona Vista MRT,1.30627534823257,103.790363200126
one-north MRT,1.29975987493555,103.78745750525
Kent Ridge MRT,1.29356390505771,103.784569394529
Haw Par Villa MRT,1.28195688684898,103.781988990137
Pasir Panjang MRT,1.27621352233766,103.791350313288
Labrador Park MRT,1.27236838626952,103.803416232089
Telok Blangah MRT,1.27070647772509,103.809761611219
HarbourFront MRT,1.26531139858465,103.820557316696
Bayfront MRT,1.28187378851834,103.859079765146
Marina Bay MRT,1.27631114381584,103.854604975361
Bukit Panjang MRT,1.37956121236613,103.761188866252
Cashew MRT,1.36984601365741,103.764315051619
Hillview MRT,1.36288845715168,103.767780907707
Beauty World MRT,1.34090149001429,103.775746717778
King Albert Park MRT,1.335893496278,103.783235863233
